Community,Unit Type,2021,2022,2021 Vac. (%),2022 Vac. (%)
Athabasca,1 - Bedroom,840,852,,
Athabasca,2 - Bedroom,912,931,,w
Athabasca,3 - Bedroom,1026,980,,
Athabasca,Bachelor,706,719,,
Overall Vacancy Rate,,,,15,9
Banff,1 - Bedroom,1318,1435,,
Banff,2 - Bedroom,1592,1734,,
Banff,3 - Bedroom,1716,1805,,
Banff,4+ Bedroom,2600,2975,,
Banff,Bachelor,964,810,,
Overall Vacancy Rate,,,,3,0
Barrhead,1 - Bedroom,712,706,,
Barrhead,2 - Bedroom,806,798,,
Barrhead,3 - Bedroom,900,900,,
Barrhead,Bachelor,571,498,,
Overall Vacancy Rate,,,,3,1
Bassano,1 - Bedroom,0,475,,
Bassano,2 - Bedroom,0,560,,
Bassano,3 - Bedroom,656,706,,
Overall Vacancy Rate,,,,0,0
Beaverlodge,1 - Bedroom,858,846,,
Beaverlodge,2 - Bedroom,903,902,,
Beaverlodge,3 - Bedroom,1042,1070,,
Beaverlodge,Bachelor,0,0,,
Overall Vacancy Rate,,,,20,17
Black Diamond,1 - Bedroom,895,1300,,
Black Diamond,2 - Bedroom,1014,1500,,
Black Diamond,3 - Bedroom,1023,1037,,
Overall Vacancy Rate,,,,2,0
Blackfalds,1 - Bedroom,0,0,,
Blackfalds,2 - Bedroom,0,904,,
Blackfalds,3 - Bedroom,1223,1285,,
Overall Vacancy Rate,,,,0,3
Bonnyville,1 - Bedroom,791,872,,
Bonnyville,2 - Bedroom,965,963,,
Bonnyville,3 - Bedroom,1260,972,,
Bonnyville,Bachelor,703,692,,
Overall Vacancy Rate,,,,15,19
Bow Island,1 - Bedroom,0,0,,
Bow Island,2 - Bedroom,0,635,,
Bow Island,3 - Bedroom,0,0,,
Bow Island,Bachelor,0,0,,
Overall Vacancy Rate,,,,0,0
Bowden,1 - Bedroom,687,694,,
Bowden,2 - Bedroom,829,853,,
Bowden,Bachelor,545,615,,
Overall Vacancy Rate,,,,13,0
Bruderheim,1 - Bedroom,1250,1250,,
Bruderheim,2 - Bedroom,1245,1245,,
Bruderheim,3 - Bedroom,495,495,,
Bruderheim,Bachelor,700,700,,
Overall Vacancy Rate,,,,39,45
Cardston,1 - Bedroom,750,0,,
Cardston,2 - Bedroom,975,871,,
Cardston,3 - Bedroom,0,900,,
Overall Vacancy Rate,,,,40,0
Carstairs,1 - Bedroom,738,0,,
Carstairs,2 - Bedroom,862,863,,
Carstairs,3 - Bedroom,840,840,,
Overall Vacancy Rate,,,,8,0
Claresholm,1 - Bedroom,632,870,,
Claresholm,2 - Bedroom,703,832,,
Claresholm,3 - Bedroom,775,875,,
Claresholm,4+ Bedroom,0,0,,
Claresholm,Bachelor,587,590,,
Overall Vacancy Rate,,,,0,1
Coaldale,1 - Bedroom,736,764,,
Coaldale,2 - Bedroom,853,810,,
Coaldale,3 - Bedroom,1000,0,,
Coaldale,4+ Bedroom,0,1795,,
Overall Vacancy Rate,,,,0,8
Crowsnest Pass,1 - Bedroom,660,527,,
Crowsnest Pass,2 - Bedroom,820,650,,
Crowsnest Pass,3 - Bedroom,1125,0,,
Crowsnest Pass,4+ Bedroom,0,0,,
Crowsnest Pass,Bachelor,487,380,,
Overall Vacancy Rate,,,,14,17
Didsbury,1 - Bedroom,710,1000,,
Didsbury,2 - Bedroom,625,1203,,
Didsbury,3 - Bedroom,940,961,,
Overall Vacancy Rate,,,,1,0
Drayton Valley,1 - Bedroom,774,811,,
Drayton Valley,2 - Bedroom,871,876,,
Drayton Valley,3 - Bedroom,1031,1125,,
Drayton Valley,Bachelor,633,692,,
Overall Vacancy Rate,,,,21,14
Drumheller,1 - Bedroom,719,800,,
Drumheller,2 - Bedroom,804,845,,
Drumheller,3 - Bedroom,758,825,,
Drumheller,Bachelor,613,0,,
Overall Vacancy Rate,,,,17,6
Eckville,1 - Bedroom,500,0,,
Eckville,2 - Bedroom,700,775,,
Eckville,3 - Bedroom,884,806,,
Overall Vacancy Rate,,,,5,7
Edson,1 - Bedroom,906,910,,
Edson,2 - Bedroom,1045,1008,,
Edson,3 - Bedroom,1194,1213,,
Edson,Bachelor,780,800,,
Overall Vacancy Rate,,,,2,4
Elk Point,1 - Bedroom,0,0,,
Elk Point,2 - Bedroom,0,0,,
Elk Point,3 - Bedroom,0,0,,
Overall Vacancy Rate,,,,0,0
Fairview,1 - Bedroom,711,745,,
Fairview,2 - Bedroom,828,851,,
Fairview,3 - Bedroom,825,725,,
Fairview,Bachelor,650,700,,
Overall Vacancy Rate,,,,6,2
Falher,1 - Bedroom,699,738,,
Falher,2 - Bedroom,830,819,,
Falher,3 - Bedroom,900,907,,
Falher,Bachelor,500,550,,
Overall Vacancy Rate,,,,4,11
Fort Macleod,1 - Bedroom,621,742,,
Fort Macleod,2 - Bedroom,850,898,,
Fort Macleod,3 - Bedroom,1250,1165,,
Fort Macleod,4+ Bedroom,1275,1288,,
Fort Macleod,Bachelor,700,800,,
Overall Vacancy Rate,,,,8,2
Fox Creek,1 - Bedroom,859,897,,
Fox Creek,2 - Bedroom,1343,1719,,
Fox Creek,3 - Bedroom,1886,2300,,
Fox Creek,4+ Bedroom,0,0,,
Fox Creek,Bachelor,900,1050,,
Overall Vacancy Rate,,,,52,58
Grande Cache,1 - Bedroom,625,683,,
Grande Cache,2 - Bedroom,740,786,,
Grande Cache,3 - Bedroom,800,1345,,
Grande Cache,Bachelor,0,642,,
Overall Vacancy Rate,,,,56,15
Grimshaw,1 - Bedroom,933,940,,
Grimshaw,2 - Bedroom,983,987,,
Grimshaw,3 - Bedroom,0,0,,
Overall Vacancy Rate,,,,8,8
Hanna,1 - Bedroom,0,650,,
Hanna,2 - Bedroom,641,741,,
Hanna,3 - Bedroom,645,640,,
Overall Vacancy Rate,,,,16,8
High Level,1 - Bedroom,878,817,,
High Level,2 - Bedroom,1028,1042,,
High Level,3 - Bedroom,1350,1237,,
High Level,Bachelor,733,0,,
Overall Vacancy Rate,,,,2,5
High Prairie,1 - Bedroom,806,793,,
High Prairie,2 - Bedroom,1002,964,,
High Prairie,3 - Bedroom,1250,1254,,
High Prairie,Bachelor,696,693,,
Overall Vacancy Rate,,,,6,11
High River,2 - Bedroom,0,0,,
Overall Vacancy Rate,,,,0,0
Hinton,1 - Bedroom,873,879,,
Hinton,2 - Bedroom,1045,1023,,
Hinton,3 - Bedroom,991,1057,,
Hinton,Bachelor,741,748,,
Overall Vacancy Rate,,,,12,11
Innisfail,1 - Bedroom,753,796,,
Innisfail,2 - Bedroom,799,818,,
Innisfail,3 - Bedroom,1084,1112,,
Innisfail,4+ Bedroom,0,1800,,
Innisfail,Bachelor,875,875,,
Overall Vacancy Rate,,,,1,3
Jasper,1 - Bedroom,1061,1078,,
Jasper,2 - Bedroom,1245,1319,,
Jasper,3 - Bedroom,1335,1563,,
Jasper,4+ Bedroom,0,0,,
Jasper,Bachelor,911,922,,
Overall Vacancy Rate,,,,0,0
Lac La Biche,1 - Bedroom,817,0,,
Lac La Biche,2 - Bedroom,961,0,,
Lac La Biche,3 - Bedroom,1025,0,,
Overall Vacancy Rate,,,,24,0
Lacombe,1 - Bedroom,0,865,,
Lacombe,2 - Bedroom,0,764,,
Overall Vacancy Rate,,,,0,0
Mayerthorpe,1 - Bedroom,665,700,,
Mayerthorpe,2 - Bedroom,755,784,,
Mayerthorpe,3 - Bedroom,0,850,,
Overall Vacancy Rate,,,,0,0
Mclennan,1 - Bedroom,684,711,,
Mclennan,2 - Bedroom,744,740,,
Overall Vacancy Rate,,,,0,4
Millet,1 - Bedroom,825,855,,
Millet,2 - Bedroom,912,914,,
Overall Vacancy Rate,,,,16,0
Nanton,1 - Bedroom,800,800,,
Nanton,2 - Bedroom,821,830,,
Nanton,3 - Bedroom,842,863,,
Nanton,Bachelor,750,800,,
Overall Vacancy Rate,,,,7,2
Olds,1 - Bedroom,723,749,,
Olds,2 - Bedroom,823,866,,
Olds,3 - Bedroom,775,865,,
Olds,4+ Bedroom,0,0,,
Olds,Bachelor,0,0,,
Overall Vacancy Rate,,,,5,3
Peace River,1 - Bedroom,942,877,,
Peace River,2 - Bedroom,1134,1065,,
Peace River,3 - Bedroom,1207,1184,,
Peace River,Bachelor,698,550,,
Overall Vacancy Rate,,,,15,13
Penhold,1 - Bedroom,0,0,,
Penhold,2 - Bedroom,1144,941,,
Penhold,3 - Bedroom,1195,931,,
Overall Vacancy Rate,,,,14,0
Pincher Creek,1 - Bedroom,600,725,,
Pincher Creek,2 - Bedroom,695,789,,
Pincher Creek,3 - Bedroom,0,1100,,
Overall Vacancy Rate,,,,6,3
Ponoka,1 - Bedroom,761,799,,
Ponoka,2 - Bedroom,837,877,,
Ponoka,3 - Bedroom,1191,1210,,
Ponoka,Bachelor,685,706,,
Overall Vacancy Rate,,,,10,4
Provost,1 - Bedroom,730,818,,
Provost,2 - Bedroom,748,813,,
Provost,3 - Bedroom,638,675,,
Provost,4+ Bedroom,800,0,,
Overall Vacancy Rate,,,,10,19
Raymond,1 - Bedroom,550,538,,
Raymond,2 - Bedroom,731,665,,
Raymond,3 - Bedroom,0,0,,
Overall Vacancy Rate,,,,20,0
Rimbey,1 - Bedroom,706,703,,
Rimbey,2 - Bedroom,881,854,,
Rimbey,3 - Bedroom,1375,1375,,
Rimbey,4+ Bedroom,1400,1400,,
Overall Vacancy Rate,,,,2,3
Rocky Mountain House,1 - Bedroom,727,845,,
Rocky Mountain House,2 - Bedroom,862,927,,
Rocky Mountain House,3 - Bedroom,1124,1029,,
Rocky Mountain House,Bachelor,450,800,,
Overall Vacancy Rate,,,,25,16
Sexsmith,1 - Bedroom,0,0,,
Sexsmith,2 - Bedroom,928,0,,
Sexsmith,3 - Bedroom,1200,0,,
Sexsmith,4+ Bedroom,0,0,,
Sexsmith,Bachelor,0,0,,
Overall Vacancy Rate,,,,0,0
Slave Lake,1 - Bedroom,895,1036,,
Slave Lake,2 - Bedroom,1055,1314,,
Slave Lake,3 - Bedroom,1206,1340,,
Slave Lake,Bachelor,1200,1300,,
Overall Vacancy Rate,,,,0,7
Smoky Lake,1 - Bedroom,837,909,,
Smoky Lake,2 - Bedroom,1241,1217,,
Smoky Lake,3 - Bedroom,1100,888,,
Overall Vacancy Rate,,,,21,6
Spirit River,1 - Bedroom,855,885,,
Spirit River,2 - Bedroom,847,857,,
Spirit River,3 - Bedroom,975,1000,,
Spirit River,Bachelor,0,0,,
Overall Vacancy Rate,,,,11,11
St. Paul,1 - Bedroom,854,882,,
St. Paul,2 - Bedroom,917,965,,
St. Paul,3 - Bedroom,1140,1160,,
St. Paul,4+ Bedroom,0,1300,,
St. Paul,Bachelor,0,690,,
Overall Vacancy Rate,,,,17,17
Stettler,1 - Bedroom,734,770,,
Stettler,2 - Bedroom,812,857,,
Stettler,3 - Bedroom,975,1210,,
Stettler,Bachelor,620,598,,
Overall Vacancy Rate,,,,15,14
Sundre,1 - Bedroom,800,836,,
Sundre,2 - Bedroom,938,975,,
Sundre,3 - Bedroom,1050,1050,,
Sundre,Bachelor,861,675,,
Overall Vacancy Rate,,,,1,3
Swan Hills,1 - Bedroom,650,638,,
Swan Hills,2 - Bedroom,663,920,,
Swan Hills,3 - Bedroom,863,971,,
Swan Hills,Bachelor,0,400,,
Overall Vacancy Rate,,,,52,32
Taber,1 - Bedroom,669,730,,
Taber,2 - Bedroom,793,852,,
Taber,3 - Bedroom,943,1045,,
Taber,Bachelor,650,695,,
Overall Vacancy Rate,,,,2,4
Tofield,1 - Bedroom,550,550,,
Tofield,2 - Bedroom,738,740,,
Tofield,3 - Bedroom,925,968,,
Tofield,Bachelor,500,500,,
Overall Vacancy Rate,,,,0,0
Two Hills,1 - Bedroom,548,616,,
Two Hills,2 - Bedroom,708,751,,
Overall Vacancy Rate,,,,3,3
Valleyview,1 - Bedroom,900,900,,
Valleyview,2 - Bedroom,1100,1000,,
Valleyview,3 - Bedroom,0,950,,
Valleyview,Bachelor,750,750,,
Overall Vacancy Rate,,,,20,11
Vegreville,1 - Bedroom,733,731,,
Vegreville,2 - Bedroom,819,832,,
Vegreville,3 - Bedroom,1104,975,,
Vegreville,4+ Bedroom,1350,1380,,
Vegreville,Bachelor,475,618,,
Overall Vacancy Rate,,,,8,17
Vermilion,1 - Bedroom,756,806,,
Vermilion,2 - Bedroom,927,885,,
Vermilion,3 - Bedroom,995,1001,,
Vermilion,4+ Bedroom,1500,1500,,
Vermilion,Bachelor,0,550,,
Overall Vacancy Rate,,,,9,16
Vulcan,1 - Bedroom,800,900,,
Vulcan,2 - Bedroom,872,915,,
Vulcan,3 - Bedroom,0,744,,
Vulcan,Bachelor,0,0,,
Overall Vacancy Rate,,,,0,7
Wainwright,1 - Bedroom,740,782,,
Wainwright,2 - Bedroom,880,992,,
Wainwright,3 - Bedroom,1084,1198,,
Wainwright,Bachelor,450,434,,
Overall Vacancy Rate,,,,13,13
Westlock,1 - Bedroom,775,768,,
Westlock,2 - Bedroom,881,881,,
Westlock,3 - Bedroom,972,963,,
Westlock,Bachelor,613,525,,
Overall Vacancy Rate,,,,16,24
Whitecourt,1 - Bedroom,0,0,,
Whitecourt,2 - Bedroom,0,0,,
Whitecourt,3 - Bedroom,0,0,,
Whitecourt,Bachelor,0,0,,
Overall Vacancy Rate,,,,0,0
